Latent dim,Model,Parameter,mode_nclus,avg_nclus,ari_best_clus,CI_aris
2,Lamb,0.1,9,8.4466,0.8776217792550565,"(0.8603635004560664, 0.8612005802778435)"
2,Lamb,0.5,9,9.0276,0.8776217792550565,"(0.8585591302163812, 0.8596089293305577)"
2,Lamb,1.0,9,9.443,0.8776217792550565,"(0.8549906973869443, 0.8561736617012734)"
2,APPLAM,5.0,8,7.9025,0.6867052023121387,"(0.6398604677989469, 0.6466454816407236)"
2,APPLAM,10.0,7,6.87,0.6115729364942032,"(0.5887362719453382, 0.5943490592898906)"
2,APPLAM,20.0,7,7.23,0.6876003887518041,"(0.6818668190258339, 0.6844878132529433)"
5,Lamb,0.1,8,8.2174,0.966550203056184,"(0.9471870424058877, 0.9486423642675768)"
5,Lamb,0.5,75,75.2604,0.0612359606949644,"(0.07093332076777459, 0.07119974792277856)"
5,Lamb,1.0,76,76.4228,0.0719422156985755,"(0.06910356619851832, 0.06932136151420287)"
5,APPLAM,5.0,4,4.46625,0.947211335585178,"(0.9463127951301032, 0.947201551898374)"
5,APPLAM,10.0,6,5.8975,0.914301962758618,"(0.8927144437363067, 0.8968914102884623)"
5,APPLAM,20.0,5,4.72875,0.9344789115646258,"(0.9350314237314542, 0.9361404131523047)"
8,Lamb,0.1,61,60.4392,0.1552932167450249,"(0.1554414184006425, 0.15547152077562257)"
8,Lamb,0.5,62,61.5946,0.1316106929400685,"(0.1332473681183143, 0.1333197021595766)"
8,Lamb,1.0,61,60.5426,0.1555694831096017,"(0.15534617309201385, 0.15542951305823008)"
8,APPLAM,5.0,4,4.065,0.9600728557310976,"(0.9574167930331535, 0.9583767972846241)"
8,APPLAM,10.0,4,4.00125,0.9734666666666668,"(0.9699658387304108, 0.9707541558470404)"
8,APPLAM,20.0,4,4.0,0.986598879940902,"(0.9865498311128184, 0.9866147735401419)"
