Latent dim,Model,Parameter,mode_nclus,avg_nclus,ari_best_clus,CI_aris
2,Lamb,0.1,9,9.7218,0.8705584464891907,"(0.8493608192734925, 0.8506518880325964)"
2,Lamb,0.5,11,10.8058,0.8504082262993923,"(0.831975079330315, 0.8336282057263747)"
2,Lamb,1.0,11,11.2906,0.8438290130397831,"(0.822871957883749, 0.8247351301915421)"
2,APPLAM,5.0,6,6.52375,0.4591714871597002,"(0.4623822227589148, 0.4636735394043037)"
2,APPLAM,10.0,12,13.03625,0.632237916403725,"(0.6302843224163596, 0.632701471925548)"
2,APPLAM,20.0,7,6.9075,0.457778482646242,"(0.46338185227240986, 0.46477032256304923)"
5,Lamb,0.1,8,8.1722,0.966550203056184,"(0.9498657517808362, 0.9511976018663162)"
5,Lamb,0.5,8,8.322,0.966550203056184,"(0.9480844301103781, 0.9495295407049402)"
5,Lamb,1.0,91,91.019,0.0502083950856264,"(0.05515035895113547, 0.055356721413580626)"
5,APPLAM,5.0,6,6.35375,0.9207629004324828,"(0.9096378326415153, 0.9112559872913821)"
5,APPLAM,10.0,6,5.82125,0.9139456506071236,"(0.9108753809631249, 0.9126104569159574)"
5,APPLAM,20.0,5,5.1525,0.9143494953558182,"(0.9180095259382286, 0.9192737051127982)"
8,Lamb,0.1,77,78.1204,0.0938510201953491,"(0.09348548764828318, 0.09354223538172865)"
8,Lamb,0.5,75,75.0214,0.1062753506708938,"(0.1056400280746073, 0.10566260874024737)"
8,Lamb,1.0,84,83.4728,0.0825543183485945,"(0.08290599931233514, 0.08292653510060222)"
8,APPLAM,5.0,4,4.0075,0.9733367884034788,"(0.9733469799155972, 0.9734270780108136)"
8,APPLAM,10.0,5,4.7325,0.9534162359674404,"(0.9597315812511769, 0.9608761278175348)"
8,APPLAM,20.0,4,4.0675,0.9733367884034788,"(0.9744062929290217, 0.9749773022291769)"
