"","bio_1_0","bio_12_0","bio_19_0","bio_8_0","slope","PC1","PC2"
"9",63,2066.74780273438,575.113708496094,-5,2.51187515258789,-0.412348547090738,-2.37213725850582
"12",65,1992.86499023438,557.272521972656,-3,4.65618944168091,-0.214134612465637,-2.1051324967345
"14",65,1999.77038574219,559.007385253906,-3,4.58014488220215,-0.23004427998821,-2.11741586979376
"15",65,2006.83422851562,560.638793945312,-3,3.98041701316833,-0.232285972055906,-2.17479201876019
"16",65,2013.19299316406,562.054077148438,-3,5.6082968711853,-0.289714945194895,-2.03955996379195
"34",80.1070175170898,1586.61560058594,443.139434814453,8.10701370239258,16.0771198272705,1.04317342270065,-0.606599109960295
"39",74.9373626708984,1661.25817871094,464.334564208984,4.22614908218384,29.3880062103271,0.343944805904925,0.419950207946415
"42",76.9356155395508,1631.8583984375,455.807403564453,6.11105394363403,25.8644466400146,0.579441187222978,0.163732478100685
"687",97,1275.77185058594,286.447509765625,103,1.10922908782959,4.05527711220887,-1.33240857969707
"748",104,1077.34838867188,239.780563354492,109,1.32133483886719,4.76583909277646,-1.07748956300718
"749",104,1079.00439453125,240.500289916992,109,1.21184659004211,4.76302096940202,-1.08866001480312
"2086",98.0390090942383,1225.32580566406,308.312713623047,88.4275970458984,32.8663368225098,3.06660662413713,1.41076506287376
"2088",78.9304885864258,1689.10607910156,451.631439208984,7.9304895401001,27.4782695770264,0.53524270846751,0.298983392591814
"2089",78.3200454711914,1711.27685546875,457.664245605469,7.76761245727539,39.6368560791016,0.149084306974602,1.3213997641856
"2090",81.7356567382812,1607.69592285156,427.027954101562,42.735652923584,17.628999710083,1.48766143726823,-0.434895420991006
"2091",79.745491027832,1613.18395996094,428.895660400391,35.5882453918457,15.1562347412109,1.40867885509073,-0.676709355211802
"2092",102.436866760254,1221.36401367188,315.941253662109,61.212574005127,29.5565891265869,2.89291684068475,1.15461936039984
"2093",105.099044799805,1115.09838867188,285.401794433594,62.9776420593262,19.0956535339355,3.52969801888635,0.374450661392471
"2094",77.9659957885742,1676.66748046875,447.781982421875,7.0310525894165,19.7053356170654,0.739419868488388,-0.370180514514948
"2095",109.844581604004,982.453247070312,244.972045898438,114.844581604004,12.650200843811,4.78282725932974,0.00668800502858247
"2096",106.529426574707,1102.68493652344,278.840759277344,111.529426574707,29.2366523742676,3.92151285685213,1.29594457631316
"2097",111.251022338867,938.878234863281,230.668807983398,115.329399108887,12.9688892364502,4.93726077461821,0.0892501228625719
"2098",114,873.870849609375,213.077575683594,118.43921661377,18.6043567657471,5.06041162114069,0.660393915012994
"2099",106.663017272949,1052.94543457031,252.336547851562,111.683570861816,13.3047275543213,4.52581164110224,-0.0177147101404864
"2100",98.0686569213867,1235.77221679688,309.554656982422,98.1154479980469,31.7729721069336,3.18912562241936,1.3134389918793
