Latent dim,Model,Parameter,mode_nclus,avg_nclus,ari_best_clus,CI_aris
2,Lamb,0.1,5,4.759,0.9401606957735876,"(0.9529462721772463, 0.9550057346749447)"
2,Lamb,0.5,5,5.2624,0.9401606957735876,"(0.9316849415279803, 0.93407708610024)"
2,Lamb,1.0,28,27.6118,0.2164944630851744,"(0.26807053319952473, 0.2697412052998817)"
2,APPLAM,5.0,6,6.637,0.8252476272138612,"(0.8238779530758286, 0.8289369021784522)"
2,APPLAM,10.0,9,9.017,0.7188922842753913,"(0.7169851922642526, 0.7246024712106777)"
2,APPLAM,20.0,6,6.071,0.913956851694473,"(0.8834312963666088, 0.8893025930999116)"
5,Lamb,0.1,54,54.2742,0.0941395171476918,"(0.09917739340848164, 0.0995101831092052)"
5,Lamb,0.5,62,62.6458,0.0819726079854483,"(0.08054161238081593, 0.0807167260566267)"
5,Lamb,1.0,41,39.7036,0.3416965027158746,"(0.35411204221123327, 0.35511152063334106)"
5,APPLAM,5.0,4,4.01,1.0,"(0.9998923974160091, 0.9999744877640971)"
5,APPLAM,10.0,4,4.024,1.0,"(0.9997771265111874, 0.9999033979210681)"
5,APPLAM,20.0,4,4.002,1.0,"(0.9999682585418811, 1.0000051184941403)"
8,Lamb,0.1,38,39.1714,0.7294921716337484,"(0.734281733683508, 0.7346032956243357)"
8,Lamb,0.5,30,30.4188,0.6762525880245155,"(0.6696262281587052, 0.670049215984922)"
8,Lamb,1.0,31,31.0,0.7511676657717627,"(0.7505259413847563, 0.7505985608877042)"
8,APPLAM,5.0,4,4.02125,1.0,"(0.9997920512282799, 0.9999250797794461)"
8,APPLAM,10.0,4,4.0,1.0,"(nan, nan)"
8,APPLAM,20.0,4,4.0,1.0,"(nan, nan)"
